codigo_inep,nome_escola,codigo_ibge,latitude,longitude,tem_rampa,tem_banheiro_pcd,acesso_total
25078445,EMEIEF JOSE SABINO DE SOUZA,2509206,-7.172842,-35.767131,True,True,True
25078488,EMEIEF MARIA ZECA DE SOUZA,2509206,-7.1818771,-35.7314602,True,True,True
25078496,EMEIEF SANTINHA RIBEIRO,2509206,-7.2010698,-35.748256,False,False,True
25078518,EMEIEF TIBURTINO PENHA MELO,2509206,-7.22839003,-35.70363587,True,False,True
25104438,EMEIEF PEDACINHO DO CEU,2509206,-7.2502762,-35.8362355,True,True,True
25128116,CENTRO EDUCACIONAL DE ENSINO INFANTIL E FUNDAMENTAL ESTACAO CRIANCA,2509206,-7.1814,-35.73622,False,True,False
25130595,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO,2509206,-7.18014318,-35.73523255,False,False,False
25143808,INSTITUTO EDUCACIONAL DE EIEFM PINGOS DE LETRAS,2509206,-7.18007652,-35.735454,True,False,True
25087711,EMEFM CONEGO JOSE VITAL RIBEIRO BESSA,2509305,-6.5920671,-35.0582758,True,True,True
25087720,EMEDI JOSE VITAL RIBEIRO BESSA,2509305,-6.602027533,-35.05070524,True,True,True
25087738,ECI PEDRO POTI,2509305,-6.5907012,-35.05707,False,True,False
25087789,EMEF JOSE RIBEIRO BESSA,2509305,-6.599593386,-35.05455254,True,True,True
25087843,EM GRACINDA IRACEMA DA COSTA,2509305,-6.5725153,-35.1100804,True,True,True
25111833,CRECHE MENINA BARBARA,2509305,-6.592359552,-35.05508822,True,True,True
25087754,EMEF ANTONIO MADEIRO DA COSTA,2509305,-6.5927457,-34.9686404,True,True,True
25063294,EMEIF JOSE CABRAL,2509339,-7.10763852,-35.76012455,True,False,False
25063324,EMEIF MANOEL V DE MOURA,2509339,-7.12944036,-35.78763203,True,True,False
25063359,EEEFM DESEMBARGADOR ARTHUR VIRGINIO DE MOURA,2509339,-7.1223772,-35.7730116,True,True,False
25063405,ECIT POETA MARIO VIEIRA DA SILVA,2509339,-7.106855605,-35.79440896,True,True,True
25063529,EMEIF DR PEDRO TAVARES,2509339,-7.12245791,-35.8207148,True,False,False
25063600,EMEIF PADRE CICERO R BATISTA,2509339,-7.12175188,-35.80145377,True,False,False
25063642,EMEIF OSORIO SUDERIO SILVA,2509339,-7.114558,-35.78432,True,False,False
25063758,EMEIF JOAO FERNANDES DE ARAUJO,2509339,-7.11261605,-35.80769443,True,False,True
25063804,EMEIF SAO SEBASTIAO,2509339,-7.13585803,-35.75758399,True,False,False
25063820,EMEIF DEODATO SOBRAL,2509339,-7.10481973,-35.7386218,True,True,False
25063863,EMEIF ALDO ARRUDA CAMARA,2509339,-7.111983,-35.72951,False,False,False
25063979,EMEIF SEVERINO RICARDO DE ARAUJO,2509339,-7.10436385,-35.77008902,True,False,False
25114026,EMEIF INDEPENDENCIA,2509339,-7.14051651,-35.78202617,True,False,False
25126091,CRECHE DIVINA GLORIA,2509339,-7.12271058,-35.77489368,False,False,False
